x y objectid ncesid name address city state zip zip4 telephone type status population county countyfips country latitude longitude naics_code naics_desc source sourcedate val_method val_date website level_ enrollment st_grade end_grade districtid ft_teacher shelter_id
-9342093.4347 4018465.1895 45582 130255003382 "LOVIN ELEMENTARY SCHOOL" "1705 NEW HOPE RD" LAWRENCEVILLE GA 30045 "NOT AVAILABLE" "(678) 518-6940" 1 1 978 GWINNETT 13135 USA 33.9229828700001 -83.9214531809999 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=130255003382 "2010/01/29 00:00:00" IMAGERY "2010/08/25 00:00:00" "NOT AVAILABLE" ELEMENTARY 909 PK 05 1302550 69 "NOT AVAILABLE"
-9889903.4522 5174323.5712 88140 172130002403 "HIAWATHA HIGH SCHOOL" "PO BOX 428" KIRKLAND IL 60146 428 "(815) 522-3335" 1 1 179 DEKALB 17037 USA 42.089020143 -88.842514296 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=172130002403 "2009/10/13 00:00:00" IMAGERY/OTHER "2010/08/31 00:00:00" "NOT AVAILABLE" HIGH 167 09 12 1721300 12 10787164
-10816736.2756 3840481.4737 96810 482892011026 "MARY JO SHEPPARD EL" "1701 FM 1187" MANSFIELD TX 76063 "NOT AVAILABLE" "(817) 299-6600" 1 1 511 TARRANT 48439 USA 32.586007841 -97.16839520699992 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=482892011026 "2010/01/29 00:00:00" IMAGERY "2010/05/12 00:00:00" http://sheppard.mansfieldisd.org ELEMENTARY 478 PK 04 4828920 33 "NOT AVAILABLE"
-10875698.2479 3645211.2906 97315 482566000118 "GATEWAY MIDDLE" "3004 ATKINSON AVE" KILLEEN TX 76543 "NOT AVAILABLE" "(254) 336-1694" 4 1 55 BELL 48027 USA 31.09591103 -97.69805961600001 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=482566000118 "2010/01/29 00:00:00" IMAGERY/OTHER "2017/10/31 00:00:00" http://www.killeenisd.org MIDDLE 40 06 08 4825660 15 "NOT AVAILABLE"
-10420795.8324 5124056.7774 61682 190369002094 "ASHLAND RIDGE ELEMENTARY" "2600 NW ASH DRIVE" ANKENY IA 50023 "NOT AVAILABLE" "(515) 965-9594" 1 1 694 POLK 19153 USA 41.753035024 -93.6116016889999 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=190369002094 "2011/09/30 00:00:00" GEOCODE "2013/05/28 00:00:00" http://www.ankenyschools.org ELEMENTARY 663 PK 05 1903690 31 "NOT AVAILABLE"
-10030486.1383 4659795.1678 80805 170804000414 "LALUMIER ELEM SCHOOL" "6702 BOND AVE" CENTREVILLE IL 62207 2336 "(618) 332-3713" 1 1 258 "ST. CLAIR" 17163 USA 38.566709933 -90.105390052 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=170804000414 "2009/10/13 00:00:00" IMAGERY "2016/04/05 00:00:00" "NOT AVAILABLE" ELEMENTARY 242 PK 03 1708040 16 "NOT AVAILABLE"
-10875746.8107 3645257.622 31924 482566006281 "GATEWAY H S" "4100 ZEPHYR RD" KILLEEN TX 76543 5289 "(254) 336-1700" 4 1 101 BELL 48027 USA 31.0962674250001 -97.69849586299989 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=482566006281 "2010/01/29 00:00:00" IMAGERY/OTHER "2010/08/13 00:00:00" http://www.killeenisd.org HIGH 84 09 12 4825660 17 "NOT AVAILABLE"
-9998364.6119 4442290.3786 34833 290453000047 "BELL CITY HIGH" "25254 WALNUT ST" "BELL CITY" MO 63735 1000 "(573) 733-4444" 1 1 115 STODDARD 29207 USA 37.0228364970001 -89.816837471 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=290453000047 "2009/10/13 00:00:00" IMAGERY/OTHER "2016/07/29 00:00:00" http://www.bellcity.k12.mo.us HIGH 103 07 12 2904530 12 "NOT AVAILABLE"
-10291351.0785 3665584.0356 42300 220129001060 "MARTIN PARK ELEMENTARY SCHOOL" "4203 LISA STREET" ALEXANDRIA LA 71302 "NOT AVAILABLE" "(318) 448-1695" 1 1 310 RAPIDES 22079 USA 31.2524950960001 -92.448779681 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=220129001060 "2009/10/13 00:00:00" IMAGERY "2016/04/18 00:00:00" "NOT AVAILABLE" ELEMENTARY 292 PK 05 2201290 18 10814937
-9320566.2142 4029508.6266 62977 130029000173 "WINDER-BARROW HIGH SCHOOL" "272 N 5TH AVE" WINDER GA 30680 "NOT AVAILABLE" "(770) 867-4519" 1 1 2127 BARROW 13013 USA 34.005262153000004 -83.72807086899999 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=130029000173 "2009/10/13 00:00:00" IMAGERY "2016/03/16 00:00:00" http://www.barrow.k12.ga.us./wbhs/ HIGH 2012 09 12 1300290 115 10805838
